outcome,model,param,estimate,lower_95,upper_95,scale,pd_or_p
Sprint_20m_Best,OLS,const,3.332272727272727,3.296305587860764,3.36823986668469,95% CI,2.2780405814602937e-31
Sprint_20m_Best,OLS,Rel_Peak_Ext_Torque,-0.10557542158951996,-0.15801373147380382,-0.05313711170523612,95% CI,0.0005037057498378133
Sprint_20m_Best,OLS,HQ_Ratio,-0.057501296263476415,-0.11409042105310904,-0.0009121714738437939,95% CI,0.04678063352985397
Sprint_20m_Best,OLS,RSI_DJ30,-0.03766579509342011,-0.08182386511904488,0.006492274932204667,95% CI,0.08995317320864948
CODD_Rel,OLS,const,63.77741046301696,61.002350181734926,66.552470744299,95% CI,1.693124636506155e-20
CODD_Rel,OLS,Rel_Peak_Ext_Torque,5.319904191018967,1.2740035896207216,9.365804792417212,95% CI,0.012826146505373153
CODD_Rel,OLS,HQ_Ratio,3.2289273228151245,-1.1372312075457902,7.595085853176039,95% CI,0.13766051614305633
CODD_Rel,OLS,RSI_DJ30,2.0763471847632498,-1.3306879097603934,5.483382279286893,95% CI,0.21667150164571825
Sprint_20m_Best,Bayes,β0,3.3324,3.3,3.4,95% HDI,
Sprint_20m_Best,Bayes,β[0],-0.1059,-0.16,-0.053,95% HDI,
Sprint_20m_Best,Bayes,β[1],-0.0576,-0.12,0.0013,95% HDI,
Sprint_20m_Best,Bayes,β[2],-0.037,-0.081,0.0096,95% HDI,
Sprint_20m_Best,Bayes,σ,0.0866,0.062,0.12,95% HDI,
CODD_Rel,Bayes,β0,63.14,61,65,95% HDI,
CODD_Rel,Bayes,β[0],1.79,0.27,3.3,95% HDI,
CODD_Rel,Bayes,β[1],0.01,-1.5,1.6,95% HDI,
CODD_Rel,Bayes,β[2],0.95,-0.54,2.4,95% HDI,
CODD_Rel,Bayes,σ,4.658,3.9,5.6,95% HDI,
