index,mean,sd,hdi95_lb,hdi95_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,outcome
β0,3.3324,0.0187,3.3,3.4,6211,4595,1.00,0.00024,0.00019,Sprint_20m_Best
β[0],-0.1059,0.0273,-0.16,-0.053,5532,5032,1.00,0.00037,0.00029,Sprint_20m_Best
β[1],-0.0576,0.0298,-0.12,0.0013,4770,4686,1.00,0.00043,0.00035,Sprint_20m_Best
β[2],-0.037,0.0231,-0.081,0.0096,5826,4897,1.00,0.0003,0.00024,Sprint_20m_Best
σ,0.0866,0.016,0.062,0.12,4639,5047,1.00,0.00024,0.00024,Sprint_20m_Best
β0,63.14,1,61,65,9373,5526,1.00,0.01,0.0075,CODD_Rel
β[0],1.79,0.78,0.27,3.3,7973,6218,1.00,0.0087,0.0062,CODD_Rel
β[1],0.01,0.79,-1.5,1.6,7938,6205,1.00,0.0089,0.0064,CODD_Rel
β[2],0.95,0.75,-0.54,2.4,9924,6473,1.00,0.0075,0.0053,CODD_Rel
σ,4.658,0.425,3.9,5.6,7786,6208,1.00,0.0049,0.0036,CODD_Rel
