outcome,arm,model,param,estimate,lower_95,upper_95,scale,pd_or_p
Sprint_20m_Best,main,OLS,const,3.332272727272727,3.296305587860764,3.36823986668469,95% CI,2.2780405814602937e-31
Sprint_20m_Best,main,OLS,Rel_Peak_Ext_Torque,-0.10557542158951996,-0.15801373147380382,-0.05313711170523612,95% CI,0.0005037057498378133
Sprint_20m_Best,main,OLS,HQ_Ratio,-0.057501296263476415,-0.11409042105310904,-0.0009121714738437939,95% CI,0.04678063352985397
Sprint_20m_Best,main,OLS,RSI_DJ30,-0.03766579509342011,-0.08182386511904488,0.006492274932204667,95% CI,0.08995317320864948
Sprint_20m_Best,sensitivity,OLS,const,3.3294678228243533,3.278264116181603,3.3806715294671035,95% CI,2.521078503497495e-27
Sprint_20m_Best,sensitivity,OLS,Rel_Peak_Ext_Torque,-0.10583750145785323,-0.16007974032436018,-0.051595262591346294,95% CI,0.0007202734574655985
Sprint_20m_Best,sensitivity,OLS,HQ_Ratio,-0.058559094932068026,-0.11848036060186261,0.0013621707377265563,95% CI,0.05485165687405253
Sprint_20m_Best,sensitivity,OLS,RSI_DJ30,-0.03855132897046301,-0.0854829422042676,0.008380284263341573,95% CI,0.10118081246666896
Sprint_20m_Best,sensitivity,OLS,menstrual_binary,0.006170789786424158,-0.07138515928752635,0.08372673886037467,95% CI,0.8686673166815052
Sprint_20m_Best,main,Bayes,β0,3.3324,3.3,3.4,95% HDI,
Sprint_20m_Best,main,Bayes,β[0],-0.1059,-0.16,-0.053,95% HDI,
Sprint_20m_Best,main,Bayes,β[1],-0.0576,-0.12,0.0013,95% HDI,
Sprint_20m_Best,main,Bayes,β[2],-0.037,-0.081,0.0096,95% HDI,
Sprint_20m_Best,main,Bayes,σ,0.0866,0.062,0.12,95% HDI,
Sprint_20m_Best,sensitivity,Bayes,β0,3.3288,3.3,3.4,95% HDI,
Sprint_20m_Best,sensitivity,Bayes,β[0],-0.1051,-0.16,-0.048,95% HDI,
Sprint_20m_Best,sensitivity,Bayes,β[1],-0.0578,-0.12,0.0027,95% HDI,
Sprint_20m_Best,sensitivity,Bayes,β[2],-0.0387,-0.088,0.0086,95% HDI,
Sprint_20m_Best,sensitivity,Bayes,β[3],0.006,-0.073,0.085,95% HDI,
Sprint_20m_Best,sensitivity,Bayes,σ,0.0896,0.064,0.13,95% HDI,
CODD_Rel,main,OLS,const,63.77741046301696,61.002350181734926,66.552470744299,95% CI,1.693124636506155e-20
CODD_Rel,main,OLS,Rel_Peak_Ext_Torque,5.319904191018967,1.2740035896207216,9.365804792417212,95% CI,0.012826146505373153
CODD_Rel,main,OLS,HQ_Ratio,3.2289273228151245,-1.1372312075457902,7.595085853176039,95% CI,0.13766051614305633
CODD_Rel,main,OLS,RSI_DJ30,2.0763471847632498,-1.3306879097603934,5.483382279286893,95% CI,0.21667150164571825
CODD_Rel,sensitivity,OLS,const,64.62534947544117,60.7219814474639,68.52871750341843,95% CI,2.859060786180203e-17
CODD_Rel,sensitivity,OLS,Rel_Peak_Ext_Torque,5.399132467354535,1.264130631751942,9.534134302957128,95% CI,0.013530650016092745
CODD_Rel,sensitivity,OLS,HQ_Ratio,3.5487060443000136,-1.0192201459521568,8.116632234552185,95% CI,0.11957327704057091
CODD_Rel,sensitivity,OLS,RSI_DJ30,2.3440492526905237,-1.2336479612310969,5.921746466612144,95% CI,0.1847674288306236
CODD_Rel,sensitivity,OLS,menstrual_binary,-1.865465827333196,-7.777721635430125,4.046789980763733,95% CI,0.5145347974368265
CODD_Rel,main,Bayes,β0,63.14,61,65,95% HDI,
CODD_Rel,main,Bayes,β[0],1.79,0.27,3.3,95% HDI,
CODD_Rel,main,Bayes,β[1],0.01,-1.5,1.6,95% HDI,
CODD_Rel,main,Bayes,β[2],0.95,-0.54,2.4,95% HDI,
CODD_Rel,main,Bayes,σ,4.658,3.9,5.6,95% HDI,
CODD_Rel,sensitivity,Bayes,β0,63.13,61,65,95% HDI,
CODD_Rel,sensitivity,Bayes,β[0],1.76,0.24,3.3,95% HDI,
CODD_Rel,sensitivity,Bayes,β[1],0,-1.6,1.5,95% HDI,
CODD_Rel,sensitivity,Bayes,β[2],0.96,-0.48,2.4,95% HDI,
CODD_Rel,sensitivity,Bayes,β[3],0.05,-1.7,1.8,95% HDI,
CODD_Rel,sensitivity,Bayes,σ,4.664,3.9,5.6,95% HDI,
